Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Student_Performance
S1000,Omar,Williams,student0@university.com,Female,22,Mathematics,79.38,72.73,78.49,75.04,76.64,84.2,85.48,78.6,B,23,Yes,Yes,Master's,High,1,5.3,Good
S1001,Maria,Brown,student1@university.com,Male,18,Business,63.84,37.29,36.93,44.79,32.53,15.76,53.84,39.01,F,4,No,Yes,Master's,Low,9,6.5,Poor
S1002,Ahmed,Jones,student2@university.com,Male,24,Engineering,57.46,62.54,56.85,69.13,47.5,60.77,71.35,62.19,C,11,No,Yes,High School,Low,6,8.2,Average
S1003,Omar,Williams,student3@university.com,Female,24,Engineering,79.86,69.86,71.95,82.8,77.79,72.31,86.99,76.79,B,14,No,Yes,High School,High,5,6.7,Good
S1004,John,Smith,student4@university.com,Female,23,CS,98.47,91.0,90.59,97.74,84.92,95.31,94.14,92.36,A,25,No,Yes,Bachelor's,High,2,5.2,Excellent
S1005,Liam,Brown,student5@university.com,Male,21,Mathematics,97.18,88.16,89.88,87.86,90.43,89.64,77.39,86.77,A,27,No,Yes,High School,Medium,2,4.2,Excellent
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,91.36,78.19,87.72,86.95,93.1,100.0,92.1,88.34,A,24,Yes,Yes,PhD,High,7,7.1,Excellent
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,56.47,53.75,43.15,38.54,32.01,35.17,35.47,41.13,D,9,Yes,Yes,Bachelor's,Low,6,6.1,Poor
S1008,Omar,Smith,student8@university.com,Female,21,CS,69.22,64.58,55.94,62.98,57.67,52.49,72.06,61.78,C,9,No,Yes,High School,High,8,8.9,Average
S1009,Sara,Smith,student9@university.com,Female,22,Business,71.13,87.54,67.37,67.39,53.99,61.59,74.19,70.86,C,4,Yes,Yes,PhD,Medium,3,7.9,Average
S1010,John,Smith,student10@university.com,Female,23,Business,100.0,94.6,91.78,88.66,99.37,100.0,89.76,93.05,A,25,No,Yes,PhD,Low,3,8.0,Excellent
S1011,Omar,Williams,student11@university.com,Female,20,Mathematics,50.98,48.53,38.26,49.85,31.54,33.56,55.3,44.32,F,3,Yes,Yes,Bachelor's,Medium,5,4.1,Poor
